300.00	0.04	0.02	0.00
310.00	6.00	4.50	2.00
320.00	29.60	22.40	4.00
330.00	55.30	42.00	8.50
340.00	57.30	40.60	7.80
350.00	61.80	41.60	6.70
360.00	61.50	38.00	5.30
370.00	68.80	42.40	6.10
380.00	63.40	38.50	3.00
390.00	65.80	35.00	1.20
400.00	94.80	43.40	-1.10
410.00	104.80	46.30	-0.50
420.00	105.90	43.90	-0.70
430.00	96.80	37.10	-1.20
440.00	113.90	36.70	-2.60
450.00	125.60	35.90	-2.90
460.00	125.50	32.60	-2.80
470.00	121.30	27.90	-2.60
480.00	121.30	24.30	-2.60
490.00	113.50	20.10	-1.80
500.00	113.10	16.20	-1.50
510.00	110.80	13.20	-1.30
520.00	106.50	8.60	-1.20
530.00	108.80	6.10	-1.00
540.00	105.30	4.20	-0.50
550.00	104.40	1.90	-0.30
560.00	100.00	0.00	0.00
570.00	96.00	-1.60	0.20
580.00	95.10	-3.50	0.50
590.00	89.10	-3.50	2.10
600.00	90.50	-5.80	3.20
610.00	90.30	-7.20	4.10
620.00	88.40	-8.60	4.70
630.00	84.00	-9.50	5.10
640.00	85.10	-10.90	6.70
650.00	81.90	-10.70	7.30
660.00	82.60	-12.00	8.60
670.00	84.90	-14.00	9.80
680.00	81.30	-13.60	10.20
690.00	71.90	-12.00	8.30
700.00	74.30	-13.30	9.60
710.00	76.40	-12.90	8.50
720.00	63.30	-10.60	7.00
730.00	71.70	-11.60	7.60
740.00	77.00	-12.20	8.00
750.00	65.20	-10.20	6.70
760.00	47.70	-7.80	5.20
770.00	68.60	-11.20	7.40
780.00	65.00	-10.40	6.80
790.00	66.00	-10.60	7.00
800.00	61.00	-9.70	6.40
810.00	53.30	-8.30	5.50
820.00	58.90	-9.30	6.10
830.00	61.90	-9.80	6.50
